City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,suez,29.9737,32.5263,65.75,40,0,4.43,EG,1682482640
1,iqaluit,63.7506,-68.5145,29.93,100,75,0.0,CA,1682482640
2,aasiaat,68.7098,-52.8699,31.62,99,100,7.74,GL,1682482640
3,dryden,49.7833,-92.7503,28.69,69,0,3.44,CA,1682482640
4,wailua homesteads,22.0669,-159.378,77.43,74,75,12.66,US,1682482641
5,sitia,35.2,26.0986,62.98,79,100,6.26,GR,1682482641
6,bethel,41.3712,-73.414,46.63,76,0,0.0,US,1682482641
7,invercargill,-46.4,168.35,53.02,82,100,1.99,NZ,1682482641
8,iskateley,67.6803,53.1512,24.1,91,10,12.33,RU,1682482641
9,adamstown,-25.066,-130.1015,76.62,74,6,11.81,PN,1682482641
10,remire-montjoly,4.9167,-52.2667,75.24,100,100,2.3,GF,1682482642
11,grytviken,-54.2811,-36.5092,35.85,88,58,15.79,GS,1682482642
12,edinburgh of the seven seas,-37.0676,-12.3116,59.4,65,78,29.19,SH,1682482642
13,constantia,44.1833,28.65,47.08,86,86,8.63,RO,1682482642
14,port-aux-francais,-49.35,70.2167,43.72,95,96,24.34,TF,1682482642
15,rio rico,31.4715,-110.9765,67.64,22,0,0.0,US,1682482642
16,muisne,0.6,-80.0333,78.21,85,100,1.54,EC,1682482642
17,port alfred,-33.5906,26.891,68.18,97,86,1.99,ZA,1682482643
18,hamilton,39.1834,-84.5333,52.74,69,100,0.0,US,1682482643
19,waitangi,-43.9535,-176.5597,50.83,80,86,1.99,NZ,1682482643
20,vila velha,-20.3297,-40.2925,71.94,97,75,3.44,BR,1682482643
21,smithers,54.7804,-127.1743,39.43,76,96,2.89,CA,1682482355
22,west island,-12.1568,96.8225,84.18,74,75,18.41,CC,1682482643
23,saipan,15.1355,145.701,90.3,100,40,21.85,MP,1682482643
24,ust-nera,64.5667,143.2,30.9,79,28,3.33,RU,1682482644
25,salekhard,66.53,66.6019,25.12,88,7,7.49,RU,1682482644
26,albany,42.6001,-73.9662,39.81,80,1,1.01,US,1682482549
27,barcelos,41.5388,-8.6151,59.85,94,97,3.06,PT,1682482397
28,katsuura,35.1333,140.3,65.66,96,100,25.05,JP,1682482644
29,teruel,40.6667,-0.6667,49.46,79,43,3.51,ES,1682482644
30,blackmans bay,-43.0167,147.3167,73.72,43,5,4.29,AU,1682482644
31,ubari,26.5921,12.7805,68.83,24,2,9.08,LY,1682482644
32,margaret river,-33.95,115.0667,62.8,72,100,13.22,AU,1682482645
33,anadyr,64.75,177.4833,23.5,57,0,21.99,RU,1682482645
34,ma'rib,15.4591,45.3253,80.35,34,29,2.93,YE,1682482645
35,ganjam,19.3833,85.0667,86.29,57,89,2.73,IN,1682482645
36,aguas formosas,-17.0822,-40.9358,69.24,99,86,2.08,BR,1682482645
37,magistral'nyy,56.1725,107.4458,44.42,55,99,5.73,RU,1682482645
38,sola,-13.8833,167.55,80.78,73,50,1.92,VU,1682482645
39,angaur state,6.906,134.13,84.07,71,14,6.26,PW,1682482645
40,vorgashor,67.5833,63.95,18.16,95,57,12.26,RU,1682482437
41,geraldton,-28.7667,114.6,72.01,49,53,11.5,AU,1682482646
42,jamestown,42.097,-79.2353,40.59,91,100,3.44,US,1682482379
43,east london,-33.0153,27.9116,67.77,90,63,6.44,ZA,1682482646
44,maralal,1.0968,36.698,58.98,88,100,2.26,KE,1682482646
45,ta`u,-14.2336,-169.5144,82.83,71,19,6.02,AS,1682482445
46,kapuskasing,49.4169,-82.4331,28.49,100,100,6.91,CA,1682482646
47,qaqortoq,60.7167,-46.0333,32.49,94,95,0.74,GL,1682482646
48,ushuaia,-54.8,-68.3,46.06,57,20,13.8,AR,1682482627
49,puerto baquerizo moreno,-0.9,-89.6,78.26,78,46,4.83,EC,1682482647
50,sinabang,2.4803,96.3801,86.18,68,100,3.94,ID,1682482647
51,birjand,32.8663,59.2211,73.87,14,0,6.91,IR,1682482647
52,petropavlovsk-kamchatsky,53.0452,158.6483,41.59,45,75,13.42,RU,1682482647
53,mae ramat,16.984,98.5166,91.72,37,44,3.24,TH,1682482647
54,susuman,62.7833,148.1667,27.54,80,98,1.99,RU,1682482647
55,punta del este,-34.9667,-54.95,64.87,97,20,3.44,UY,1682482647
56,mount pleasant,32.7941,-79.8626,64.99,83,100,8.05,US,1682482580
57,divnomorskoye,44.5011,38.1353,53.47,63,97,5.61,RU,1682482647
58,gaspe,48.8334,-64.4819,30.11,100,20,2.3,CA,1682482562
